ID_Juego,Fecha_Hora_UTC,Equipo_Local,Equipo_Visitante,Marcador_Local,Marcador_Visitante,Status_Completado
bc75992fc84ef71ac01271077d656ba0,2026-04-15T22:41:00Z,Pittsburgh Pirates,Washington Nationals,2,0,True
e39af7619a05b0b5a99bc6dcd7fbc12b,2026-04-15T17:41:00Z,Minnesota Twins,Boston Red Sox,5,9,True
f330db82278ea4535ef5b2b1571ee7d1,2026-04-15T17:21:00Z,St. Louis Cardinals,Cleveland Guardians,5,3,True
30d1ac7c8c0a6c6b760667043f6569aa,2026-04-15T16:36:00Z,Baltimore Orioles,Arizona Diamondbacks,5,8,True
bf8721941657f63c8758e23bdee938ba,2026-04-15T02:10:39Z,Los Angeles Dodgers,New York Mets,2,1,True
70099d392f8cdba638b5d8e7d6dce3e2,2026-04-15T01:40:39Z,San Diego Padres,Seattle Mariners,4,1,True
4f93a0b7adae6d305b4095cc30172ed9,2026-04-15T01:40:34Z,Athletics,Texas Rangers,2,1,True
2142bbf2fe04a2b7b7ae829b27222697,2026-04-15T00:10:43Z,Houston Astros,Colorado Rockies,7,6,True
c0eef6d4f9ed3511fcfdb17153b8f0a3,2026-04-14T23:45:47Z,St. Louis Cardinals,Cleveland Guardians,6,5,True
3de0bc35b00fae1cd6acfbadcf023411,2026-04-14T23:40:13Z,Chicago White Sox,Tampa Bay Rays,5,8,True
9d2cb684d156eddca29c13df0d0bce22,2026-04-14T23:40:09Z,Milwaukee Brewers,Toronto Blue Jays,7,9,True
62e56fb8e25706db1f4b277d3dab18de,2026-04-14T23:39:16Z,Minnesota Twins,Boston Red Sox,6,0,True
be2fbbe5b663cd7dc72d23031f2498ec,2026-04-14T23:15:37Z,Atlanta Braves,Miami Marlins,6,5,True
e24b161253e29f8c9ef92e6906b29364,2026-04-14T23:09:16Z,New York Yankees,Los Angeles Angels,1,7,True
d5bcde6808790e2d31facdd85fadb43e,2026-04-14T22:57:57Z,Pittsburgh Pirates,Washington Nationals,4,5,True
441105a5d9e63b9467a1b49e493aff1f,2026-04-14T22:42:45Z,Detroit Tigers,Kansas City Royals,2,1,True
42f96d05fcb3bf3aefe7588b7e0de883,2026-04-14T22:41:48Z,Philadelphia Phillies,Chicago Cubs,4,10,True
fb1c5d37a9a3812d5d1e0b5ab2f3e768,2026-04-14T22:40:54Z,Cincinnati Reds,San Francisco Giants,2,1,True
385f86efd6c56a30190e6bb26a224fe6,2026-04-14T22:36:22Z,Baltimore Orioles,Arizona Diamondbacks,3,4,True
